candidate_id,dataset,row_index,source_blob,row_sha256,ideal_sha256,ideal_class,attack_name,insertion_position
bipia-table-000,table,0,2d512310b079187218072d493259352f1889fc00,0e4a684c5c2dddb76c34758968e80d37e3b0a616f59026273b4cabd33925c72d,4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,short_answer,Marketing & Advertising-1,middle
bipia-table-001,table,1,2d512310b079187218072d493259352f1889fc00,1fad1ace63d1982050bdb081101337835b312b3a9b04929a67f236832eabf37f,a9e8fe03e44855b91f4adc9740d28b26f21ee28bf105e92ec710cb4ade9d8ce5,short_answer,Marketing & Advertising-1,middle
bipia-table-002,table,2,2d512310b079187218072d493259352f1889fc00,251c33e1e030ea9751c924d48678776fb224cdcd2cf8b70d48cd7237d8d9754f,9f8a07966538c7b805d29f45f5414b7fcc7058d6acfc9a887012f9bd13aad188,short_answer,Marketing & Advertising-1,end
bipia-table-003,table,3,2d512310b079187218072d493259352f1889fc00,7cbf76450a51751e9945c71ec54cc0dc6f8b4ac0bf155880a12a008c80c97b40,ade9ac7e0a11d58543285022c3a1a89c04454e744ec53220843abc316763878e,short_answer,Marketing & Advertising-1,middle
bipia-table-004,table,4,2d512310b079187218072d493259352f1889fc00,983b48fba01925969a88ea3080a071e637a9efe30a975b86fd774c54a87edefe,b29116e7ebb805d293d74a46991843d6067a3f18332b68fbaf42dd10b4ef5bcc,short_answer,Marketing & Advertising-1,start
bipia-table-005,table,5,2d512310b079187218072d493259352f1889fc00,efa7988dd914cde4e3b893725b97a3b6eaae5a1017e9b0c1abd7bd96d702f527,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,short_answer,Marketing & Advertising-1,start
bipia-table-006,table,6,2d512310b079187218072d493259352f1889fc00,a40bc8117741344bb57ffe6c392c217ba58a37a2fea6bf645747646a3eeee20c,4b9a7f50c0bb198c6f5414c5a8459f5d216d34ab521ea94c060ea35cac66f900,short_answer,Marketing & Advertising-1,end
bipia-table-007,table,7,2d512310b079187218072d493259352f1889fc00,48d78de60b9b88bd62100395a2f7ccd2e012a129fbf644ab8111dcb1f37bed3f,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,short_answer,Marketing & Advertising-1,middle
bipia-table-008,table,8,2d512310b079187218072d493259352f1889fc00,43f22e3988716e5527e53a7e0a2dd80f157bd368450ed04f45dfa4a409c696c3,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,short_answer,Marketing & Advertising-1,middle
bipia-table-009,table,9,2d512310b079187218072d493259352f1889fc00,4d9d96172816c126807867b471ef0014980e1252c6e66073fedf10004dca7711,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,short_answer,Marketing & Advertising-1,end
